feature,rf_score,gb_score,f_score,mi_score,aggregate_score
f0_range,0.48606811145510836,0.0,0.0013295284153783359,0.04970760233918123,0.15602785958744442
shimmer_apq5,0.5108359133126935,0.0,0.004656941603673838,0.0,0.15418216231454282
mfcc_1_mean,0.34613003095975237,0.14056280937132143,0.005694855868268257,0.020467836257309985,0.1512403905244378
mdvp_flo,0.17027863777089783,0.0,0.0053633913402367835,0.47368421052631576,0.14689311170457986
mfcc_6_mean,0.21052631578947367,0.00033071853483510364,0.024228543990070378,0.38596491228070173,0.14529580155144706
nhr,0.47678018575851383,0.0,0.004598006228664212,0.0,0.143953656973287
shimmer_apq3,0.3993808049535604,0.0,0.00340457219552719,0.058479532163742604,0.13219106235792205
ppe,0.2786377708978328,0.0,0.0008920239228205592,0.22514619883040932,0.12879897581999583
ste_std,0.4086687306501548,1.9972316234939603e-12,0.015626290273957233,0.0,0.12572587725043705
spectral_centroid_mean,0.13003095975232198,2.9104412444788085e-06,0.017837407636577082,0.415204678362573,0.12561857825789996
rpde,0.40247678018575855,0.0,0.0007537370180079723,0.0,0.12089378145932915
mfcc_5_std,0.3622291021671827,0.005746732113437344,0.0214706537159449,0.005847953216374249,0.11585647167064983
mfcc_10_mean,0.20061919504643966,0.12631299562055837,0.009108899715062692,0.06432748538011684,0.1127669342191353
mfcc_10_std,0.34055727554179566,0.022455222987313332,0.0052737700561224276,0.0,0.10995850356995718
spectral_rolloff_mean,0.3343653250773994,0.02331469114452396,0.00520254283968048,0.0,0.1083445134345131
mdvp_shimmer_db,0.2507739938080495,0.0,0.003337192034348522,0.13742690058479531,0.10338501666624361
mdvp_apq,0.18328173374613,0.0,0.004656941603673838,0.22514619883040932,0.10094514821065563
hnr,0.33126934984520123,0.0,0.0024725367265873775,0.0,0.09987531229887785
mfcc_3_std,0.13003095975232198,0.007863945604002944,0.006743559216011033,0.28362573099415206,0.0994423296489301
mdvp_fhi,0.0,0.0,0.0049314526581466945,0.44444444444444453,0.08987517942051824
mfcc_12_std,0.2879256965944272,0.0017076169461023244,0.004050374965362806,0.0,0.08770006905523141
mdvp_jitter_abs,0.2043343653250774,0.0,0.0006967921256006005,0.12280701754385968,0.08600107153141527
mfcc_7_mean,0.2786377708978328,0.0,0.0002204901036620355,0.0,0.08363542929008225
mdvp_shimmer_percent,0.2724458204334365,0.0,0.0032222685621882304,0.0,0.0823781998424686
mdvp_ppq,0.2724458204334365,0.0,0.0007065131140757738,0.0,0.08187504875284611
mdvp_rap,0.2043343653250774,0.0,0.0006978211488620545,0.04970760233918123,0.07138139429513188
mfcc_11_std,0.21052631578947367,0.0,0.00025433996158271316,0.0,0.06320876272915864
d2,0.2043343653250774,0.0,0.0007805273521251804,0.0,0.06145641506794825
spectral_spread_mean,0.1981424148606811,0.0,0.00032092577254466963,0.0,0.05950690961271326
f0_cv,0.1486068111455108,0.0,0.0007805273521251847,0.0,0.044738148814078275
dfa,0.13003095975232198,0.0,0.004070194842917588,0.005847953216374249,0.040992917537554956
mfcc_4_mean,0.13003095975232198,0.0,0.003134222738994115,0.0,0.039636132473495414
shimmer_dda,0.08359133126934983,0.0,0.0036825991011041745,0.04970760233918123,0.03575543966886203
spread1,0.0,0.0,0.0007794903983261604,0.13742690058479531,0.027641278196624295
jitter_ddp,0.0,0.0,0.0007033714793127586,0.12280701754385968,0.024702077804634487
mfcc_13_std,0.0743034055727554,0.0009863240402100805,0.0012668974942395862,0.0,0.02284029838273756
spread2,0.0743034055727554,0.0,0.0007698100635615908,0.0,0.022444983684538938
mfcc_12_mean,0.0743034055727554,0.0,0.0,0.0,0.02229102167182662
mfcc_2_mean,0.0,1.0579003612788748e-05,0.012812024090674393,0.035087719298245605,0.009583122378867836
mfcc_8_std,0.0,0.0,0.0009771216026402052,0.0,0.00019542432052804104
mdvp_jitter_percent,0.0,0.0,0.0006971040175762587,0.0,0.00013942080351525175
